All data are in 000 metric tonnes of nutrients,"Went to https://www.ifastat.org/databases/plant-nutrition then selected all countries, the years from 1986 to 2019, then for 'Which products' the 'Grant Total N', 'Grand Total P2O5' and 'Grand Total K20' were chosen. In addition the display options for 'Total N+P2O5+K2O' was selected. For Activities 'Consumption' was chosen. Then 'Show data' was pressed, and then once the data were displayed 'Download results' was pressed. The xlsx file had the second row deleted as well as the bottom rows that had extraneous information (on IFA copyright and when the data were downloaded). This was saved as a csv file. ",,
Product,Country,Year,Consumption
Grand Total N,Korea DPR,1998,128.3
Grand Total N,Korea DPR,1999,152
Grand Total N,Korea DPR,2000,165
Grand Total N,Korea DPR,2001,171.1
Grand Total N,Korea DPR,2002,154.2
Grand Total N,Korea DPR,2003,154.2
Grand Total N,Korea DPR,2004,170.8
Grand Total N,Korea DPR,2005,159.7
Grand Total N,Korea DPR,2006,170
Grand Total N,Korea DPR,2007,175
Grand Total N,Korea DPR,2008,160.6
Grand Total N,Korea DPR,2009,160.5
Grand Total N,Korea DPR,2010,180.9
Grand Total N,Korea DPR,2011,180
Grand Total N,Korea DPR,2012,185
Grand Total N,Korea DPR,2013,185.3
Grand Total N,Korea DPR,2014,151.7
Grand Total N,Korea DPR,2015,123.7
Grand Total N,Korea DPR,2016,162
Grand Total N,Korea DPR,2017,152.5
Grand Total N,Korea DPR,2018,208.7
Grand Total N,Korea DPR,2019,99
Grand Total N,Trinidad and Tobago,1986,3.5
Grand Total N,Trinidad and Tobago,1987,3.2
Grand Total N,Trinidad and Tobago,1988,1.3
Grand Total N,Trinidad and Tobago,1989,1.5
Grand Total N,Trinidad and Tobago,1990,5.5
Grand Total N,Trinidad and Tobago,1991,5.9
Grand Total N,Trinidad and Tobago,1992,7
Grand Total N,Trinidad and Tobago,1993,3
Grand Total N,Trinidad and Tobago,1994,3
Grand Total N,Trinidad and Tobago,1995,3
Grand Total N,Trinidad and Tobago,1996,6
Grand Total N,Trinidad and Tobago,1997,6
Grand Total N,Trinidad and Tobago,1998,5
Grand Total N,Trinidad and Tobago,1999,4.9
Grand Total N,Trinidad and Tobago,2000,5.3
Grand Total N,Trinidad and Tobago,2001,5.3
Grand Total N,Trinidad and Tobago,2002,2.8
Grand Total N,Trinidad and Tobago,2003,2.8
Grand Total N,Trinidad and Tobago,2004,5.3
Grand Total N,Trinidad and Tobago,2005,5.3
Grand Total N,Trinidad and Tobago,2006,5.3
Grand Total N,Trinidad and Tobago,2007,5.3
Grand Total N,Trinidad and Tobago,2008,4.9
Grand Total N,Trinidad and Tobago,2009,5.2
Grand Total N,Trinidad and Tobago,2010,5.1
Grand Total N,Trinidad and Tobago,2011,5
Grand Total N,Trinidad and Tobago,2012,6
Grand Total N,Trinidad and Tobago,2013,6.6
Grand Total N,Trinidad and Tobago,2014,6.6
Grand Total N,Trinidad and Tobago,2015,6.4
Grand Total N,Trinidad and Tobago,2016,6.5
Grand Total N,Trinidad and Tobago,2017,6.4
Grand Total N,Trinidad and Tobago,2018,6.5
Grand Total N,Trinidad and Tobago,2019,6.5
Grand Total N,Romania,1986,716
Grand Total N,Romania,1987,720
Grand Total N,Romania,1988,720
Grand Total N,Romania,1989,778
Grand Total N,Romania,1990,765.4
Grand Total N,Romania,1991,275
