All data are in 000 metric tonnes of nutrients,"Went to https://www.ifastat.org/databases/plant-nutrition then selected all countries, the years from 1986 to 2019, then for 'Which products' the 'Grant Total N', 'Grand Total P2O5' and 'Grand Total K20' were chosen. In addition the display options for 'Total N+P2O5+K2O' was selected. For Activities 'Consumption' was chosen. Then 'Show data' was pressed, and then once the data were displayed 'Download results' was pressed. The xlsx file had the second row deleted as well as the bottom rows that had extraneous information (on IFA copyright and when the data were downloaded). This was saved as a csv file. ",,
Product,Country,Year,Consumption
Grand Total N,Nicaragua,2016,54.4
Grand Total N,Nicaragua,2017,79.8
Grand Total N,Nicaragua,2018,34.1
Grand Total N,Nicaragua,2019,45
Grand Total N,Estonia,1986,0
Grand Total N,Estonia,1987,0
Grand Total N,Estonia,1988,0
Grand Total N,Estonia,1989,0
Grand Total N,Estonia,1990,71
Grand Total N,Estonia,1991,118
Grand Total N,Estonia,1992,39
Grand Total N,Estonia,1993,30
Grand Total N,Estonia,1994,26
Grand Total N,Estonia,1995,19
Grand Total N,Estonia,1996,16.6
Grand Total N,Estonia,1997,20.5
Grand Total N,Estonia,1998,24.9
Grand Total N,Estonia,1999,19.5
Grand Total N,Estonia,2000,22.4
Grand Total N,Estonia,2001,28.7
Grand Total N,Estonia,2002,30.2
Grand Total N,Estonia,2003,26.4
Grand Total N,Estonia,2004,29.1
Grand Total N,Estonia,2005,30.1
Grand Total N,Estonia,2006,14.5
Grand Total N,Estonia,2007,23.8
Grand Total N,Estonia,2008,33.5
Grand Total N,Estonia,2009,34.9
Grand Total N,Estonia,2010,37.2
Grand Total N,Estonia,2011,39.5
Grand Total N,Estonia,2012,41.1
Grand Total N,Estonia,2013,51
Grand Total N,Estonia,2014,52
Grand Total N,Estonia,2015,60
Grand Total N,Estonia,2016,54
Grand Total N,Estonia,2017,55
Grand Total N,Estonia,2018,60.7
Grand Total N,Estonia,2019,72.7
Grand Total N,Senegal,1986,7.5
Grand Total N,Senegal,1987,7
Grand Total N,Senegal,1988,8.4
Grand Total N,Senegal,1989,6.2
Grand Total N,Senegal,1990,6
Grand Total N,Senegal,1991,9.8
Grand Total N,Senegal,1992,9
Grand Total N,Senegal,1993,13
Grand Total N,Senegal,1994,12.9
Grand Total N,Senegal,1995,5.2
Grand Total N,Senegal,1996,8
Grand Total N,Senegal,1997,7.1
Grand Total N,Senegal,1998,7.6
Grand Total N,Senegal,1999,14.4
Grand Total N,Senegal,2000,16.2
Grand Total N,Senegal,2001,15.9
Grand Total N,Senegal,2002,21
Grand Total N,Senegal,2003,10.9
Grand Total N,Senegal,2004,11
Grand Total N,Senegal,2005,11
Grand Total N,Senegal,2006,11
Grand Total N,Senegal,2007,12.4
Grand Total N,Senegal,2008,10
Grand Total N,Senegal,2009,10.7
Grand Total N,Senegal,2010,35
Grand Total N,Senegal,2011,42
Grand Total N,Senegal,2012,42
Grand Total N,Senegal,2013,37.9
Grand Total N,Senegal,2014,32
Grand Total N,Senegal,2015,32.3
Grand Total N,Senegal,2016,35.6
Grand Total N,Senegal,2017,37
Grand Total N,Senegal,2018,35.2
Grand Total N,Senegal,2019,30.4
Grand Total N,Austria,1986,136.8
Grand Total N,Austria,1987,131.5
Grand Total N,Austria,1988,141.8
Grand Total N,Austria,1989,125.1
Grand Total N,Austria,1990,136.7
Grand Total N,Austria,1991,132
Grand Total N,Austria,1992,124
Grand Total N,Austria,1993,120
Grand Total N,Austria,1994,121
Grand Total N,Austria,1995,125
Grand Total N,Austria,1996,133
Grand Total N,Austria,1997,128
Grand Total N,Austria,1998,128
Grand Total N,Austria,1999,122
Grand Total N,Austria,2000,118
Grand Total N,Austria,2001,120
Grand Total N,Austria,2002,104
Grand Total N,Austria,2003,100
Grand Total N,Austria,2004,99
Grand Total N,Austria,2005,104.1
Grand Total N,Austria,2006,104.1
Grand Total N,Austria,2007,106
Grand Total N,Austria,2008,87
Grand Total N,Austria,2009,91.5
Grand Total N,Austria,2010,108
Grand Total N,Austria,2011,105
Grand Total N,Austria,2012,106
Grand Total N,Austria,2013,113.8
Grand Total N,Austria,2014,123.9
Grand Total N,Austria,2015,122.6
Grand Total N,Austria,2016,120.8
Grand Total N,Austria,2017,109
Grand Total N,Austria,2018,106.5
Grand Total N,Austria,2019,109.5
Grand Total N,New Zealand,1986,27
Grand Total N,New Zealand,1987,36.8
Grand Total N,New Zealand,1988,20.5
Grand Total N,New Zealand,1989,22.2
Grand Total N,New Zealand,1990,45.8
Grand Total N,New Zealand,1991,64.5
Grand Total N,New Zealand,1992,90.3
Grand Total N,New Zealand,1993,105.7
Grand Total N,New Zealand,1994,125.6
Grand Total N,New Zealand,1995,155.5
Grand Total N,New Zealand,1996,140
Grand Total N,New Zealand,1997,138.9
Grand Total N,New Zealand,1998,153.5
Grand Total N,New Zealand,1999,180
Grand Total N,New Zealand,2000,230.7
Grand Total N,New Zealand,2001,269.1
Grand Total N,New Zealand,2002,323.3
Grand Total N,New Zealand,2003,348.3
Grand Total N,New Zealand,2004,378.8
Grand Total N,New Zealand,2005,310.8
Grand Total N,New Zealand,2006,303.1
Grand Total N,New Zealand,2007,328.7
Grand Total N,New Zealand,2008,295
Grand Total N,New Zealand,2009,329.2
Grand Total N,New Zealand,2010,368.1
Grand Total N,New Zealand,2011,367.5
Grand Total N,New Zealand,2012,369.5
Grand Total N,New Zealand,2013,404.9
Grand Total N,New Zealand,2014,428
Grand Total N,New Zealand,2015,427
Grand Total N,New Zealand,2016,443
Grand Total N,New Zealand,2017,458
Grand Total N,New Zealand,2018,451
Grand Total N,New Zealand,2019,470.3
Grand Total N,South Africa,1986,372.9
Grand Total N,South Africa,1987,328.2
Grand Total N,South Africa,1988,380.8
Grand Total N,South Africa,1989,375.2
Grand Total N,South Africa,1990,377.6
Grand Total N,South Africa,1991,358.1
Grand Total N,South Africa,1992,363
Grand Total N,South Africa,1993,411.5
Grand Total N,South Africa,1994,375
Grand Total N,South Africa,1995,386
Grand Total N,South Africa,1996,405
Grand Total N,South Africa,1997,406
Grand Total N,South Africa,1998,415
Grand Total N,South Africa,1999,413
Grand Total N,South Africa,2000,415.9
Grand Total N,South Africa,2001,393
Grand Total N,South Africa,2002,477
Grand Total N,South Africa,2003,421
Grand Total N,South Africa,2004,428
Grand Total N,South Africa,2005,347.2
Grand Total N,South Africa,2006,429
Grand Total N,South Africa,2007,440
Grand Total N,South Africa,2008,424
Grand Total N,South Africa,2009,414
Grand Total N,South Africa,2010,395
Grand Total N,South Africa,2011,419
Grand Total N,South Africa,2012,425
Grand Total N,South Africa,2013,404
Grand Total N,South Africa,2014,395.1
Grand Total N,South Africa,2015,357
Grand Total N,South Africa,2016,327
Grand Total N,South Africa,2017,470.1
Grand Total N,South Africa,2018,381
Grand Total N,South Africa,2019,382.3
Grand Total N,Azerbaijan,1986,0
Grand Total N,Azerbaijan,1987,0
Grand Total N,Azerbaijan,1988,0
Grand Total N,Azerbaijan,1989,0
Grand Total N,Azerbaijan,1990,88
Grand Total N,Azerbaijan,1991,80
Grand Total N,Azerbaijan,1992,50
Grand Total N,Azerbaijan,1993,34
Grand Total N,Azerbaijan,1994,34
Grand Total N,Azerbaijan,1995,34
Grand Total N,Azerbaijan,1996,16.6
Grand Total N,Azerbaijan,1997,0
Grand Total N,Azerbaijan,1998,12.7
Grand Total N,Azerbaijan,1999,13.8
Grand Total N,Azerbaijan,2000,2.1
Grand Total N,Azerbaijan,2001,9.9
Grand Total N,Azerbaijan,2002,16.6
Grand Total N,Azerbaijan,2003,34.5
Grand Total N,Azerbaijan,2004,18.5
Grand Total N,Azerbaijan,2005,15.6
Grand Total N,Azerbaijan,2006,21.3
Grand Total N,Azerbaijan,2007,17.8
Grand Total N,Azerbaijan,2008,31
Grand Total N,Azerbaijan,2009,19.8
Grand Total N,Azerbaijan,2010,16.6
Grand Total N,Azerbaijan,2011,23.9
Grand Total N,Azerbaijan,2012,21.3
Grand Total N,Azerbaijan,2013,20.9
Grand Total N,Azerbaijan,2014,36.7
Grand Total N,Azerbaijan,2015,36.4
Grand Total N,Azerbaijan,2016,36
Grand Total N,Azerbaijan,2017,48.2
Grand Total N,Azerbaijan,2018,56.8
Grand Total N,Azerbaijan,2019,82.3
Grand Total N,Belarus,1986,0
Grand Total N,Belarus,1987,0
Grand Total N,Belarus,1988,0
Grand Total N,Belarus,1989,0
Grand Total N,Belarus,1990,682
Grand Total N,Belarus,1991,454
Grand Total N,Belarus,1992,250
Grand Total N,Belarus,1993,227
Grand Total N,Belarus,1994,200
Grand Total N,Belarus,1995,230
Grand Total N,Belarus,1996,260
Grand Total N,Belarus,1997,280
Grand Total N,Belarus,1998,280
Grand Total N,Belarus,1999,286
Grand Total N,Belarus,2000,280
Grand Total N,Belarus,2001,290
Grand Total N,Belarus,2002,250
Grand Total N,Belarus,2003,270
Grand Total N,Belarus,2004,375
Grand Total N,Belarus,2005,406
Grand Total N,Belarus,2006,480
Grand Total N,Belarus,2007,447
Grand Total N,Belarus,2008,553.5
Grand Total N,Belarus,2009,529.9
Grand Total N,Belarus,2010,536
Grand Total N,Belarus,2011,600
Grand Total N,Belarus,2012,557
Grand Total N,Belarus,2013,534.8
Grand Total N,Belarus,2014,456
Grand Total N,Belarus,2015,443.7
Grand Total N,Belarus,2016,348.5
Grand Total N,Belarus,2017,406.9
Grand Total N,Belarus,2018,404.8
Grand Total N,Belarus,2019,407.4
Grand Total N,Latvia,1986,0
Grand Total N,Latvia,1987,0
Grand Total N,Latvia,1988,0
Grand Total N,Latvia,1989,0
Grand Total N,Latvia,1990,115
Grand Total N,Latvia,1991,72
Grand Total N,Latvia,1992,63
Grand Total N,Latvia,1993,40
Grand Total N,Latvia,1994,40
Grand Total N,Latvia,1995,12
Grand Total N,Latvia,1996,14
Grand Total N,Latvia,1997,19
Grand Total N,Latvia,1998,31.5
Grand Total N,Latvia,1999,33.6
Grand Total N,Latvia,2000,28.5
Grand Total N,Latvia,2001,38.8
Grand Total N,Latvia,2002,36.4
Grand Total N,Latvia,2003,35.9
Grand Total N,Latvia,2004,37.8
Grand Total N,Latvia,2005,39.3
Grand Total N,Latvia,2006,44.5
Grand Total N,Latvia,2007,55.5
Grand Total N,Latvia,2008,52.5
Grand Total N,Latvia,2009,44.2
Grand Total N,Latvia,2010,40
Grand Total N,Latvia,2011,47.9
Grand Total N,Latvia,2012,57.8
Grand Total N,Latvia,2013,57
Grand Total N,Latvia,2014,56.5
Grand Total N,Latvia,2015,84
Grand Total N,Latvia,2016,118.7
Grand Total N,Latvia,2017,104.6
Grand Total N,Latvia,2018,103.5
Grand Total N,Latvia,2019,112.4
Grand Total N,Iraq,1986,131.5
Grand Total N,Iraq,1987,148.5
Grand Total N,Iraq,1988,164.6
Grand Total N,Iraq,1989,138.5
Grand Total N,Iraq,1990,130
Grand Total N,Iraq,1991,95
Grand Total N,Iraq,1992,130
Grand Total N,Iraq,1993,226
Grand Total N,Iraq,1994,238
Grand Total N,Iraq,1995,225
Grand Total N,Iraq,1996,240.5
Grand Total N,Iraq,1997,242.7
Grand Total N,Iraq,1998,251.2
Grand Total N,Iraq,1999,254.7
Grand Total N,Iraq,2000,250.5
Grand Total N,Iraq,2001,297.1
Grand Total N,Iraq,2002,507.2
Grand Total N,Iraq,2003,45.2
Grand Total N,Iraq,2004,2.6
Grand Total N,Iraq,2005,119.9
Grand Total N,Iraq,2006,139.4
Grand Total N,Iraq,2007,106.7
Grand Total N,Iraq,2008,138
Grand Total N,Iraq,2009,150
Grand Total N,Iraq,2010,121.8
Grand Total N,Iraq,2011,134.6
Grand Total N,Iraq,2012,148.3
Grand Total N,Iraq,2013,187.7
Grand Total N,Iraq,2014,209.8
Grand Total N,Iraq,2015,177.4
Grand Total N,Iraq,2016,247.6
Grand Total N,Iraq,2017,157.3
Grand Total N,Iraq,2018,209
Grand Total N,Iraq,2019,212.1
Grand Total N,Bulgaria,1986,478
Grand Total N,Bulgaria,1987,469.4
Grand Total N,Bulgaria,1988,548
Grand Total N,Bulgaria,1989,495
Grand Total N,Bulgaria,1990,452.9
Grand Total N,Bulgaria,1991,377.3
Grand Total N,Bulgaria,1992,189.2
Grand Total N,Bulgaria,1993,166.1
Grand Total N,Bulgaria,1994,207.7
Grand Total N,Bulgaria,1995,112
Grand Total N,Bulgaria,1996,152
Grand Total N,Bulgaria,1997,157.8
Grand Total N,Bulgaria,1998,135
Grand Total N,Bulgaria,1999,110.6
Grand Total N,Bulgaria,2000,144.9
Grand Total N,Bulgaria,2001,150
Grand Total N,Bulgaria,2002,130.4
Grand Total N,Bulgaria,2003,134
Grand Total N,Bulgaria,2004,133.5
Grand Total N,Bulgaria,2005,136.8
Grand Total N,Bulgaria,2006,158
Grand Total N,Bulgaria,2007,160
Grand Total N,Bulgaria,2008,129
Grand Total N,Bulgaria,2009,188
Grand Total N,Bulgaria,2010,187
Grand Total N,Bulgaria,2011,192
Grand Total N,Bulgaria,2012,255.9
Grand Total N,Bulgaria,2013,292
Grand Total N,Bulgaria,2014,385
Grand Total N,Bulgaria,2015,330
Grand Total N,Bulgaria,2016,411.2
Grand Total N,Bulgaria,2017,388.7
Grand Total N,Bulgaria,2018,382.8
Grand Total N,Bulgaria,2019,395.7
Grand Total N,Brazil,1986,980.9
Grand Total N,Brazil,1987,957.9
Grand Total N,Brazil,1988,815
Grand Total N,Brazil,1989,802.5
Grand Total N,Brazil,1990,796.6
Grand Total N,Brazil,1991,829.5
Grand Total N,Brazil,1992,835.1
Grand Total N,Brazil,1993,1070.8
Grand Total N,Brazil,1994,1224.5
Grand Total N,Brazil,1995,1150.5
Grand Total N,Brazil,1996,1248.4
Grand Total N,Brazil,1997,1438.1
Grand Total N,Brazil,1998,1545.5
Grand Total N,Brazil,1999,1671.2
Grand Total N,Brazil,2000,1997.7
Grand Total N,Brazil,2001,1729.5
Grand Total N,Brazil,2002,1855.2
Grand Total N,Brazil,2003,2440.4
Grand Total N,Brazil,2004,2475.2
Grand Total N,Brazil,2005,2304.6
Grand Total N,Brazil,2006,2297.1
Grand Total N,Brazil,2007,2751
Grand Total N,Brazil,2008,2502
Grand Total N,Brazil,2009,2554
Grand Total N,Brazil,2010,2855
Grand Total N,Brazil,2011,3366
Grand Total N,Brazil,2012,3435
Grand Total N,Brazil,2013,3698.5
Grand Total N,Brazil,2014,3871.9
Grand Total N,Brazil,2015,3532.7
Grand Total N,Brazil,2016,4366
Grand Total N,Brazil,2017,4377
Grand Total N,Brazil,2018,4286.6
Grand Total N,Brazil,2019,4358
Grand Total N,Lithuania,1986,0
Grand Total N,Lithuania,1987,0
Grand Total N,Lithuania,1988,0
Grand Total N,Lithuania,1989,0
Grand Total N,Lithuania,1990,212
Grand Total N,Lithuania,1991,248
Grand Total N,Lithuania,1992,88
Grand Total N,Lithuania,1993,43
Grand Total N,Lithuania,1994,43
Grand Total N,Lithuania,1995,40
Grand Total N,Lithuania,1996,79
Grand Total N,Lithuania,1997,81.1
Grand Total N,Lithuania,1998,83.4
Grand Total N,Lithuania,1999,94
Grand Total N,Lithuania,2000,98
Grand Total N,Lithuania,2001,102
Grand Total N,Lithuania,2002,115
Grand Total N,Lithuania,2003,116
Grand Total N,Lithuania,2004,117
Grand Total N,Lithuania,2005,119
Grand Total N,Lithuania,2006,122
Grand Total N,Lithuania,2007,127
Grand Total N,Lithuania,2008,118.3
Grand Total N,Lithuania,2009,134.4
Grand Total N,Lithuania,2010,143.2
Grand Total N,Lithuania,2011,147
Grand Total N,Lithuania,2012,150
Grand Total N,Lithuania,2013,155
Grand Total N,Lithuania,2014,163.2
Grand Total N,Lithuania,2015,167.8
Grand Total N,Lithuania,2016,169.5
Grand Total N,Lithuania,2017,172
Grand Total N,Lithuania,2018,174.1
Grand Total N,Lithuania,2019,176
Grand Total N,Georgia,1986,0
Grand Total N,Georgia,1987,0
Grand Total N,Georgia,1988,0
Grand Total N,Georgia,1989,0
Grand Total N,Georgia,1990,89
Grand Total N,Georgia,1991,81
Grand Total N,Georgia,1992,62
Grand Total N,Georgia,1993,48.9
Grand Total N,Georgia,1994,26
Grand Total N,Georgia,1995,26
Grand Total N,Georgia,1996,27.2
Grand Total N,Georgia,1997,31.5
Grand Total N,Georgia,1998,30
Grand Total N,Georgia,1999,40
Grand Total N,Georgia,2000,40
Grand Total N,Georgia,2001,30
Grand Total N,Georgia,2002,30
Grand Total N,Georgia,2003,30
Grand Total N,Georgia,2004,30
Grand Total N,Georgia,2005,30
Grand Total N,Georgia,2006,30
Grand Total N,Georgia,2007,30.6
Grand Total N,Georgia,2008,31.2
Grand Total N,Georgia,2009,31.8
Grand Total N,Georgia,2010,25
Grand Total N,Georgia,2011,27
Grand Total N,Georgia,2012,30.6
Grand Total N,Georgia,2013,25.7
Grand Total N,Georgia,2014,28.1
Grand Total N,Georgia,2015,20.6
Grand Total N,Georgia,2016,20.8
Grand Total N,Georgia,2017,22.2
Grand Total N,Georgia,2018,27.4
Grand Total N,Georgia,2019,27.9
Grand Total N,Kenya,1986,46.2
Grand Total N,Kenya,1987,47.8
Grand Total N,Kenya,1988,57.6
Grand Total N,Kenya,1989,49.3
Grand Total N,Kenya,1990,49.1
Grand Total N,Kenya,1991,52.4
Grand Total N,Kenya,1992,47.8
Grand Total N,Kenya,1993,42.1
Grand Total N,Kenya,1994,52
Grand Total N,Kenya,1995,33
Grand Total N,Kenya,1996,63
Grand Total N,Kenya,1997,51
Grand Total N,Kenya,1998,53
Grand Total N,Kenya,1999,54.2
Grand Total N,Kenya,2000,72.7
Grand Total N,Kenya,2001,80.5
Grand Total N,Kenya,2002,54.8
Grand Total N,Kenya,2003,68.5
Grand Total N,Kenya,2004,81.5
Grand Total N,Kenya,2005,79.2
Grand Total N,Kenya,2006,83.4
Grand Total N,Kenya,2007,76.8
Grand Total N,Kenya,2008,75
Grand Total N,Kenya,2009,84.2
Grand Total N,Kenya,2010,107.5
Grand Total N,Kenya,2011,97.3
Grand Total N,Kenya,2012,98.2
Grand Total N,Kenya,2013,156.8
Grand Total N,Kenya,2014,130.2
Grand Total N,Kenya,2015,130.6
Grand Total N,Kenya,2016,126.6
Grand Total N,Kenya,2017,187.5
Grand Total N,Kenya,2018,125.3
Grand Total N,Kenya,2019,178.5
Grand Total N,Poland,1986,1388.1
Grand Total N,Poland,1987,1335.4
Grand Total N,Poland,1988,1504.4
Grand Total N,Poland,1989,1478.6
Grand Total N,Poland,1990,671
Grand Total N,Poland,1991,569.3
Grand Total N,Poland,1992,683
Grand Total N,Poland,1993,758
Grand Total N,Poland,1994,836
Grand Total N,Poland,1995,852
Grand Total N,Poland,1996,910
Grand Total N,Poland,1997,1009.7
Grand Total N,Poland,1998,862
Grand Total N,Poland,1999,861.3
Grand Total N,Poland,2000,896.2
Grand Total N,Poland,2001,864.3
Grand Total N,Poland,2002,830.7
Grand Total N,Poland,2003,948.2
Grand Total N,Poland,2004,892
Grand Total N,Poland,2005,996
Grand Total N,Poland,2006,1056
Grand Total N,Poland,2007,1142
Grand Total N,Poland,2008,1050
Grand Total N,Poland,2009,1113
Grand Total N,Poland,2010,1090
Grand Total N,Poland,2011,1095
Grand Total N,Poland,2012,1204
Grand Total N,Poland,2013,1098
Grand Total N,Poland,2014,1004
Grand Total N,Poland,2015,1043
Grand Total N,Poland,2016,1151.5
Grand Total N,Poland,2017,1178.8
Grand Total N,Poland,2018,994
Grand Total N,Poland,2019,1046
Grand Total N,Czechia,1986,0
Grand Total N,Czechia,1987,0
Grand Total N,Czechia,1988,0
Grand Total N,Czechia,1989,0
Grand Total N,Czechia,1990,0
Grand Total N,Czechia,1991,0
Grand Total N,Czechia,1992,0
Grand Total N,Czechia,1993,0
Grand Total N,Czechia,1994,239.4
Grand Total N,Czechia,1995,232.7
Grand Total N,Czechia,1996,262.3
Grand Total N,Czechia,1997,225.9
Grand Total N,Czechia,1998,218.8
Grand Total N,Czechia,1999,209.6
Grand Total N,Czechia,2000,262.1
Grand Total N,Czechia,2001,310.6
Grand Total N,Czechia,2002,289.1
Grand Total N,Czechia,2003,303.8
Grand Total N,Czechia,2004,292.9
Grand Total N,Czechia,2005,289
Grand Total N,Czechia,2006,295
Grand Total N,Czechia,2007,310.9
Grand Total N,Czechia,2008,290
Grand Total N,Czechia,2009,246
Grand Total N,Czechia,2010,295
Grand Total N,Czechia,2011,334
Grand Total N,Czechia,2012,307
Grand Total N,Czechia,2013,361
Grand Total N,Czechia,2014,397.7
Grand Total N,Czechia,2015,444.4
Grand Total N,Czechia,2016,353.3
Grand Total N,Czechia,2017,386.1
Grand Total N,Czechia,2018,339.3
Grand Total N,Czechia,2019,335.3
Grand Total N,Russian Federation,1986,0
Grand Total N,Russian Federation,1987,0
Grand Total N,Russian Federation,1988,0
Grand Total N,Russian Federation,1989,0
Grand Total N,Russian Federation,1990,4344
Grand Total N,Russian Federation,1991,4018
Grand Total N,Russian Federation,1992,2622
Grand Total N,Russian Federation,1993,2051
Grand Total N,Russian Federation,1994,900
Grand Total N,Russian Federation,1995,1000
Grand Total N,Russian Federation,1996,984
Grand Total N,Russian Federation,1997,950
Grand Total N,Russian Federation,1998,831
Grand Total N,Russian Federation,1999,958.6
Grand Total N,Russian Federation,2000,960
Grand Total N,Russian Federation,2001,1090
Grand Total N,Russian Federation,2002,907
Grand Total N,Russian Federation,2003,837.9
Grand Total N,Russian Federation,2004,896.5
Grand Total N,Russian Federation,2005,917.9
Grand Total N,Russian Federation,2006,967
Grand Total N,Russian Federation,2007,1166.1
Grand Total N,Russian Federation,2008,1423.4
Grand Total N,Russian Federation,2009,1494.2
Grand Total N,Russian Federation,2010,1483.3
Grand Total N,Russian Federation,2011,1577
Grand Total N,Russian Federation,2012,1576
Grand Total N,Russian Federation,2013,1458.9
Grand Total N,Russian Federation,2014,1471.6
Grand Total N,Russian Federation,2015,1806.8
Grand Total N,Russian Federation,2016,2149.4
Grand Total N,Russian Federation,2017,1907.2
Grand Total N,Russian Federation,2018,2203.4
Grand Total N,Russian Federation,2019,2532
Grand Total N,Slovenia,1986,0
Grand Total N,Slovenia,1987,0
Grand Total N,Slovenia,1988,0
Grand Total N,Slovenia,1989,0
Grand Total N,Slovenia,1990,0
Grand Total N,Slovenia,1991,0
Grand Total N,Slovenia,1992,0
Grand Total N,Slovenia,1993,7.8
Grand Total N,Slovenia,1994,30.4
Grand Total N,Slovenia,1995,36.3
Grand Total N,Slovenia,1996,25.6
Grand Total N,Slovenia,1997,33.3
Grand Total N,Slovenia,1998,55.7
Grand Total N,Slovenia,1999,60.9
Grand Total N,Slovenia,2000,63.7
Grand Total N,Slovenia,2001,58.7
Grand Total N,Slovenia,2002,62.9
Grand Total N,Slovenia,2003,58.6
Grand Total N,Slovenia,2004,62.5
Grand Total N,Slovenia,2005,63.6
Grand Total N,Slovenia,2006,53
Grand Total N,Slovenia,2007,41.9
Grand Total N,Slovenia,2008,21.5
Grand Total N,Slovenia,2009,27.5
Grand Total N,Slovenia,2010,19.6
Grand Total N,Slovenia,2011,20.6
Grand Total N,Slovenia,2012,24.4
Grand Total N,Slovenia,2013,25.5
Grand Total N,Slovenia,2014,28.3
Grand Total N,Slovenia,2015,27.2
Grand Total N,Slovenia,2016,26.2
Grand Total N,Slovenia,2017,25
Grand Total N,Slovenia,2018,22.2
Grand Total N,Slovenia,2019,23.1
Grand Total N,Zambia,1986,53.8
Grand Total N,Zambia,1987,61.8
Grand Total N,Zambia,1988,56.1
Grand Total N,Zambia,1989,51.8
Grand Total N,Zambia,1990,37.9
Grand Total N,Zambia,1991,40.1
Grand Total N,Zambia,1992,57.3
Grand Total N,Zambia,1993,57.9
Grand Total N,Zambia,1994,38
Grand Total N,Zambia,1995,34
Grand Total N,Zambia,1996,27.5
Grand Total N,Zambia,1997,32.6
Grand Total N,Zambia,1998,13.2
Grand Total N,Zambia,1999,10.7
Grand Total N,Zambia,2000,8.7
Grand Total N,Zambia,2001,12
Grand Total N,Zambia,2002,21.6
Grand Total N,Zambia,2003,22
Grand Total N,Zambia,2004,14.7
Grand Total N,Zambia,2005,12.7
Grand Total N,Zambia,2006,20.6
Grand Total N,Zambia,2007,16.6
Grand Total N,Zambia,2008,24
Grand Total N,Zambia,2009,33.7
Grand Total N,Zambia,2010,96.9
Grand Total N,Zambia,2011,116.3
Grand Total N,Zambia,2012,90.6
Grand Total N,Zambia,2013,130.4
Grand Total N,Zambia,2014,121.3
Grand Total N,Zambia,2015,116.1
Grand Total N,Zambia,2016,126.8
Grand Total N,Zambia,2017,124
Grand Total N,Zambia,2018,134.9
Grand Total N,Zambia,2019,55.1
Grand Total N,Israel,1986,49.8
Grand Total N,Israel,1987,52
Grand Total N,Israel,1988,46.5
Grand Total N,Israel,1989,48.4
Grand Total N,Israel,1990,49.6
Grand Total N,Israel,1991,41.3
Grand Total N,Israel,1992,43.4
Grand Total N,Israel,1993,44
Grand Total N,Israel,1994,50
Grand Total N,Israel,1995,50
Grand Total N,Israel,1996,65
Grand Total N,Israel,1997,61
Grand Total N,Israel,1998,61
Grand Total N,Israel,1999,44
Grand Total N,Israel,2000,44
Grand Total N,Israel,2001,44
Grand Total N,Israel,2002,47.1
Grand Total N,Israel,2003,47.9
Grand Total N,Israel,2004,56.2
Grand Total N,Israel,2005,46.2
Grand Total N,Israel,2006,45.9
Grand Total N,Israel,2007,43.3
Grand Total N,Israel,2008,44
Grand Total N,Israel,2009,46.3
Grand Total N,Israel,2010,41.9
Grand Total N,Israel,2011,44.6
Grand Total N,Israel,2012,43.7
Grand Total N,Israel,2013,46.9
Grand Total N,Israel,2014,46.4
Grand Total N,Israel,2015,45
Grand Total N,Israel,2016,47.1
Grand Total N,Israel,2017,48.4
Grand Total N,Israel,2018,46.9
Grand Total N,Israel,2019,45.3
Grand Total N,Peru,1986,128
Grand Total N,Peru,1987,161.6
Grand Total N,Peru,1988,158.4
Grand Total N,Peru,1989,113.4
Grand Total N,Peru,1990,84.1
Grand Total N,Peru,1991,58.4
Grand Total N,Peru,1992,64.9
Grand Total N,Peru,1993,98.4
Grand Total N,Peru,1994,110.5
Grand Total N,Peru,1995,129.2
Grand Total N,Peru,1996,133.1
Grand Total N,Peru,1997,149.7
Grand Total N,Peru,1998,170.2
Grand Total N,Peru,1999,168
Grand Total N,Peru,2000,190.2
Grand Total N,Peru,2001,190.2
Grand Total N,Peru,2002,209.5
Grand Total N,Peru,2003,209.5
Grand Total N,Peru,2004,201.6
Grand Total N,Peru,2005,215
Grand Total N,Peru,2006,218.3
Grand Total N,Peru,2007,220.1
Grand Total N,Peru,2008,207.7
Grand Total N,Peru,2009,215.9
Grand Total N,Peru,2010,222.9
Grand Total N,Peru,2011,240.8
Grand Total N,Peru,2012,245.9
Grand Total N,Peru,2013,249.7
Grand Total N,Peru,2014,267.3
Grand Total N,Peru,2015,306.2
Grand Total N,Peru,2016,293.5
Grand Total N,Peru,2017,325.7
Grand Total N,Peru,2018,260.2
Grand Total N,Peru,2019,422.5
Grand Total N,Denmark,1986,381.3
Grand Total N,Denmark,1987,367
Grand Total N,Denmark,1988,376.9
Grand Total N,Denmark,1989,400.4
Grand Total N,Denmark,1990,394.9
Grand Total N,Denmark,1991,370
Grand Total N,Denmark,1992,333
Grand Total N,Denmark,1993,325
Grand Total N,Denmark,1994,316
Grand Total N,Denmark,1995,291
Grand Total N,Denmark,1996,288
Grand Total N,Denmark,1997,283
Grand Total N,Denmark,1998,263
Grand Total N,Denmark,1999,248
Grand Total N,Denmark,2000,234
Grand Total N,Denmark,2001,212
Grand Total N,Denmark,2002,202
Grand Total N,Denmark,2003,206
Grand Total N,Denmark,2004,206
Grand Total N,Denmark,2005,198
Grand Total N,Denmark,2006,194.9
Grand Total N,Denmark,2007,222.3
Grand Total N,Denmark,2008,190
Grand Total N,Denmark,2009,192
Grand Total N,Denmark,2010,198
